epoch,train_loss,lr,seconds,val_loss,val_auc,val_unseen_generator_loss,val_unseen_generator_auc,val_unseen_content_loss,val_unseen_content_auc
1,0.454293,0.00050127,1.32,0.264065,0.973721,0.336723,0.933671,0.33858,0.951308
2,0.322444,0.001,0.92,0.197682,0.979175,0.311741,0.942968,0.264658,0.959521
3,0.289657,0.0009924,0.94,0.177085,0.982957,0.375702,0.933184,0.254196,0.966074
4,0.262845,0.00096985,0.92,0.170185,0.985858,0.417969,0.953342,0.33895,0.95884
5,0.245959,0.00093301,0.94,0.194334,0.987064,0.333133,0.932339,0.277138,0.959429
6,0.236824,0.00088302,0.94,0.151772,0.988406,0.314987,0.954117,0.245369,0.97165
7,0.224812,0.00082139,0.94,0.139504,0.989597,0.30657,0.957727,0.268942,0.965552
8,0.217754,0.00075,0.91,0.148085,0.989807,0.314468,0.949678,0.253923,0.967767
9,0.211492,0.00067101,0.93,0.133007,0.990271,0.362583,0.962785,0.319326,0.964234
10,0.202964,0.00058682,0.93,0.131107,0.991768,0.328361,0.950596,0.251949,0.969793
11,0.196641,0.0005,0.93,0.12363,0.991642,0.330005,0.955454,0.29971,0.963709
